WA0NGMCP37673,MW0NGMCP37673,P1428:LangBo:gsang ba'i rnam thar/
WA0NGMCP37674,MW0NGMCP37674,LangBo:theg pa chen po'i man ngag gi bstan bcos yid bzhin rin po che'i mdzod/
WA0NGMCP37675,MW0NGMCP37675,LangBo:rdo rje 'chang dngos pha rgod bya btang chos rje'i rnam thar ngo mtshar rgya mtsho rin po che gser gyi 'phreng ba dgos 'dod kun 'byung /
WA0NGMCP37676,MW0NGMCP37676,P2090:LangBo:rnam thar chen mo _ sgom rim gyis mdzad pa chos rje rgod tshang rin po che _ gsungs chos rje yang dgon pa _ gis mdzad pa/
WA0NGMCP37677,MW0NGMCP37677,P667:LangBo:mdo'i yang lag gi dkyil 'khor rnams kyi sgrub dkyil dngos grub 'dod 'jo/
WA0NGMCP37678,MW0NGMCP37678,P667:LangBo:'dus pa chen po mdo'i dbang gi cho ga rdo rje'i them skas/
WA0NGMCP37679,MW0NGMCP37679,P667:LangBo:'dus pa mdo'i dbang gi spyi don rgyud lung man ngag gi gnad gsal byed sgron me/
WA0NGMCP37680,MW0NGMCP37680,P667:LangBo:'dus pa mdo'i sgrub khog rin chen 'od kyi snang ba/
WA0NGMCP37681,MW0NGMCP37681,P667:LangBo:'dus pa mdo'i cho ga'i zur 'debs dpag bsam snye ma/
WA0NGMCP37682,MW0NGMCP37682,P1428:LangBo:rgya skad du bris pa'i yi ge'i klog thabs 'phags yul mkhas pa'i lugs/
WA0NGMCP37683,MW0NGMCP37683,LangBo:'gro mgon shes rab bzang po'i mtshan bstod dang | rnam thar rtogs brjod mu gtig 'phreng ba/
WA0NGMCP37684,MW0NGMCP37684,LangBo:brgya phyag gi 'grel pa chen po gsal ba'i sgron me dmun long mig 'byed kyi gdams pa/
WA0NGMCP37685,MW0NGMCP37685,LangBo:brgya phyag gsal ba'i sgron me las sngon 'gro yid bzhin gyi nor bu ma rig mun sel/
WA0NGMCP37687,MW0NGMCP37687,P3085:LangBo:snyan brgyud yid bzhin gyi nor bu'i khrid rdo rje sems pa'i gseb lam/
WA0NGMCP37688,MW0NGMCP37688,LangBo:rnal 'byor bzhi'i lhan thabs/
WA0NGMCP37689,MW0NGMCP37689,phyag rgya chen po'i thon chos/
WA0NGMCP37690,MW0NGMCP37690,LangBo:ri chos kyi zhal gdams khog don/
WA0NGMCP37691,MW0NGMCP37691,LangBo:ri chos kyi gsang sngags rang bzhugs gi lung 'bum yod/
WA0NGMCP37692,MW0NGMCP37692,LangBo:'phrang sgrol gyi khrid yig lhan thabs nyer mkhor/
WA0NGMCP37693,MW0NGMCP37693,P667:LangBo:bla ma dam pa la gdung ba'i smre sngags kyis thugs rje bskul zhing gsol ba 'debs pa'i rabs byin rlabs g.yo ba'i kri shing /
WA0NGMCP37694,MW0NGMCP37694,P909:LangBo:chos rje rgya ras pa'i 'phrul 'khor | rmang lam ma dang 'pho ba dang grong | 'jug lags pa'i dpe chung /
WA0NGMCP37695,MW0NGMCP37695,P5916:LangBo:chos rje spyil dkar po'i 'phrul 'khor | bcu dgu pa'i dpe chung /
WA0NGMCP37696,MW0NGMCP37696,pad ma tshe yi snying tig las ye shes kyi mkha' 'gro tsaN Da li yis 'chi med dbang bskur rdo rje'i snying bcud/
WA0NGMCP37697,MW0NGMCP37697,P1691:LangBo:rdo rje snying po sprin gyi thol glu las theg pa chen po bsngo ba'i lag len padma dkar po'i brdzun 'phyang sgyu 'khrul lha'i mchod sprin/
WA0NGMCP37698,MW0NGMCP37698,P5262:LangBo:gsang spyod bzlog bsgom ma na ro pa'i ro snyoms lam khyer kyi chos yang dgon chos kyi rgyal po'i gsung /
WA0NGMCP37699,MW0NGMCP37699,LangBo:'di na ri chos kyi 'khrul 'khor nyi shu pa nyer brgyad pa nad bdun ma bar do'i 'khrul 'khor gyi rtsa tshig dang phan yon/
WA0NGMCP37700,MW0NGMCP37700,LangBo:ri chos kyi rgyud stod/
WA0NGMCP37701,MW0NGMCP37701,P5262:LangBo:ri chos dang khrid yig skor/
WA0NGMCP37702,MW0NGMCP37702,P7419:LangBo:byad grol gtad grol las bzlog pa gnam lcags ral gri dang bsrungs ba mi shig rdo rje'i gur khang bsrungs bzlog gzhung chen/
WA0NGMCP37703,MW0NGMCP37703,LangBo:seng gdongs rigs lnga'i sgrub thabs bkags chog ma/
WA0NGMCP37704,MW0NGMCP37704,LangBo:spyang zhon ma la gtor ma 'bul ba/
WA0NGMCP37706,MW0NGMCP37706,P1428:LangBo:brgyud bde bzhi las gsung pa'i yid dam rgya mtsho'i sgrub thabs zab mo rin chen 'byung gnas/
WA0NGMCP37707,MW0NGMCP37707,P7:LangBo:khrag 'thung padma drag po'i bsreg pa me'i las mtha' gdug pa mthar byed/
WA0NGMCP37708,MW0NGMCP37708,P7:LangBo:rgyal 'gong gdan 'bebs kyi mtha' sdud bsreg pa'i 'phrin las glo bur du sgrubs pa'i cho ga
WA0NGMCP37709,MW0NGMCP37709,P37:LangBo:khro bo rol pa'i ngag 'don bdud sde g.yul las rgyal ba'i sgra dbyangs/
WA0NGMCP37710,MW0NGMCP37710,P7:LangBo:ma hA gu ru drag por sgrub pa'i gter bsrung bdud btsan glu gsum gyi sgrub thabs/
WA0NGMCP37711,MW0NGMCP37711,P7:LangBo:ma hA gu ru drag por sgrub pa'i lha srin dam 'dogs/
WA0NGMCP37712,MW0NGMCP37712,P7:LangBo:ma hA gu ru drag por sgrub pa las 'phang ba'i las mtha'
WA0NGMCP37713,MW0NGMCP37713,P7:LangBo:ma hA gu ru drag por sgrub pa'i 'phrin las gyi kha skong /
WA0NGMCP37714,MW0NGMCP37714,P7:LangBo:ma hA gu ru drag por sgrub pa'i las byang /
WA0NGMCP37715,MW0NGMCP37715,P7:LangBo:ma hA gu ru drag por sgrub pa'i dbang chog
WA0NGMCP37716,MW0NGMCP37716,P7:LangBo:gter gsar gu ru drag gi bsnyen yig nyung gsal/
WA0NGMCP37717,MW0NGMCP37717,P7:LangBo:ma hA gu ru drag por sgrub pa'i bsreg pa'i las mtha'o
WA0NGMCP37718,MW0NGMCP37718,P7:LangBo:ma hA gu ru drag por sgrub pa'i mnan pa'i las mtha/
WA0NGMCP37719,MW0NGMCP37719,P1691:LangBo:rdo rje snying po sprin gyi thol glu las gtum mo'i dmigs rim 'ja' lus 'od sku/
WA0NGMCP37720,MW0NGMCP37720,P1691:LangBo:rdo rje snying po sprin gyi thol glu las spyod kyi rim pa/
WA0NGMCP37721,MW0NGMCP37721,P1691:LangBo:rdo rje snying po sprin gyi thol glu las bla sgrub kyi 'grel pa kun bzang rdo rje gi dgongs rgyan rab gsal blo'i mun sel/
WA0NGMCP37722,MW0NGMCP37722,P1691:LangBo:rdo rje snying po sprin gyi thol glu las srid gsum rnam grol thar pa'i gru rdzings bla ma'i rnal 'byor las rnam rgyal/
